feature,seuil,gauche,droite,p_NORMAL,p_DOS,p_PROBE,p_R2L,p_U2R
35,0.143750,1,362,0.197518,0.198478,0.198644,0.195975,0.209386
101,0.000000,2,269,0.233423,0.059958,0.226483,0.230410,0.249726
6,0.000000,3,194,0.289318,0.074572,0.282690,0.273786,0.079634
2,0.000000,4,105,0.341953,0.082320,0.340192,0.194426,0.041108
8,0.000000,5,84,0.084552,0.122079,0.497212,0.275819,0.020338
21,0.000000,6,61,0.080748,0.175246,0.712519,0.002289,0.029198
55,0.000000,7,54,0.087429,0.197666,0.678690,0.002633,0.033583
32,0.000000,8,29,0.117216,0.286514,0.543776,0.003816,0.048678
23,0.000000,9,18,0.012496,0.946895,0.040609,0.000000,0.000000
31,0.010000,10,13,0.461845,0.082586,0.455569,0.000000,0.000000
25,0.520000,11,12,0.918386,0.081614,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.859902,0.140098,0.000000,0.000000,0.000000
31,0.740000,14,15,0.151396,0.083247,0.765357,0.000000,0.000000
-1,0.000000,-1,-1,0.228439,0.111654,0.659907,0.000000,0.000000
39,0.000000,16,17,0.075255,0.055173,0.869572,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.059663,0.940337,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
28,0.964706,19,24,0.008567,0.954451,0.036981,0.000000,0.000000
31,0.070000,20,23,0.215484,0.428810,0.355705,0.000000,0.000000
26,0.000000,21,22,0.293887,0.584831,0.121282,0.000000,0.000000
-1,0.000000,-1,-1,1.000000,0.000000,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.828240,0.171760,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
26,0.670000,25,28,0.005885,0.961264,0.032850,0.000000,0.000000
19,0.005871,26,27,0.006074,0.992141,0.001784,0.000000,0.000000
-1,0.000000,-1,-1,0.727441,0.055172,0.217387,0.000000,0.000000
-1,0.000000,-1,-1,0.000104,0.999896,0.000000,0.000000,0.000000
-1,0.000000,-1,-1,0.000000,0.000000,1.000000,0.000000,0.000000
85,0.000000,30,39,0.142183,0.129070,0.663738,0.004726,0.060283
4,0.000000,31,38,0.159216,0.155887,0.679189,0.005708,0.000000
1,0.000000,32,35,0.165293,0.123667,0.705114,0.005925,0.000000
